Course Name,Category,Subcategory,Overall Rating,Number of Ratings,Students Enrolled,Created By,Last Update,Language,Number of Translations,Original Price,Discounted Price,Course Duration,Number of Lessons
The Complete Python Bootcamp From Zero to Hero in Python,Programming Languages,Python,4.6,"463,032","1,721,045",Jose Portilla,3.2021,English,"English [Auto], Arabic [Auto], 14 more",ג‚×449.90,ג‚×53.90,22 hours,14
The Complete 2023 Web Development Bootcamp,Web Development,None,4.7,"285,582","963,938",Dr. Angela Yu,5.2023,English,"English, Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,65 hours,74
The Web Developer Bootcamp 2023,Web Development,None,4.7,"258,589","863,143",Colt Steele,5.2023,English,"English [Auto], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,73.5 hours,54
100 Days of Code: The Complete Python Pro Bootcamp for 2023,Programming Languages,Python,4.7,"198,608","870,059",Dr. Angela Yu,5.2023,English,"English, Arabic [Auto], 16 more",ג‚×429.90,ג‚×53.90,54 hours,219
Angular - The Complete Guide (2023 Edition),Web Development,Angular,4.6,"184,948","682,323",Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Bulgarian [Auto], 22 more",ג‚×399.90,ג‚×45.90,35 hours,48
"React - The Complete Guide (incl Hooks, React Router, Redux)",Programming Languages,React JS,4.6,"184,793","734,453",Academind by Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Bulgarian [Auto], 24 more",ג‚×399.90,ג‚×45.90,48 hours,50
Java Programming Masterclass updated to Java 17,Programming Languages,Java,4.6,"181,148","774,929",Tim Buchalka,5.2023,English,"English, Bulgarian [Auto], 22 more",ג‚×429.90,ג‚×53.90,114 hours,3
The Complete JavaScript Course: From Zero to Expert!,Web Development,JavaScript,4.7,"176,287","783,284",Jonas Schmedtmann,5.2023,English,"English, Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,69 hours,22
"Machine Learning A-Zג„¢: AI, Python & R + ChatGPT Bonus [2023]",Data Science,Python,4.5,"169,218","940,996",Kirill Eremenko,5.2023,English,"English [Auto], Arabic [Auto], 12 more",ג‚×429.90,ג‚×53.90,42 hours,39
Python for Data Science and Machine Learning Bootcamp,Data Science,Machine Learning,4.6,"130,517","638,319",Jose Portilla,5.202,English,"English, Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,25 hours,13
The Data Science Course: Complete Data Science Bootcamp,Data Science,None,4.6,"123,572","592,671",365 Careers,12.2022,English,"English [CC], Arabic [Auto], 14 more",ג‚×429.90,ג‚×53.90,31 hours,92
Automate the Boring Stuff with Python Programming,Programming Languages,Python,4.7,"107,272","1,086,534",Al Sweigart,2.2023,English,"English, Arabic [Auto], 13 more",ג‚×179.90,ג‚×45.90,9.5 hours,None
Selenium WebDriver with Java -Basics to Advanced+Frameworks,Software Testing,Java,4.6,"99,639","315,514",Rahul Shetty,5.2023,English,"English [Auto], Bulgarian [Auto], 22 more",ג‚×499.90,ג‚×59.90,54.5 hours,58
Complete C# Unity Game Developer 2D,Game Development,Game Development Fundamentals,4.7,"99,133","447,369",GameDev.tv Team,4.2023,English,"English [Auto], Arabic [Auto], 12 more",ג‚×429.90,ג‚×53.90,18.5 hours,3
Learn Python Programming Masterclass,Programming Languages,Python,4.6,"98,436","411,598",Tim Buchalka,3.2023,English,"English, Arabic [Auto], 13 more",ג‚×499.90,ג‚×63.90,72.5 hours,13
Build Responsive Real-World Websites with HTML and CSS,Web Development,CSS,4.8,"94,432","376,278",Jonas Schmedtmann,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,37.5 hours,4
iOS & Swift - The Complete iOS App Development Bootcamp,Mobile Development,Swift,4.7,"84,802","338,314",Dr. Angela Yu,11.2021,English,"English, Arabic [Auto], 14 more",ג‚×429.90,ג‚×53.90,59.5 hours,114
Modern React with Redux [2023 Update],Web Development,React JS,4.7,"82,392","299,339",Stephen Grider,5.2023,English,"English [Auto], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,37.5 hours,22
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,Database Design & Development,MySQL,4.6,"81,358","383,035",Colt Steele,4.2023,English,"English [Auto], Arabic [Auto], 13 more",ג‚×429.90,ג‚×53.90,36.5 hours,278
The Complete Web Developer Course 3.0,Web Development,None,4.5,"71,222","309,087",Rob Percival,4.2023,English,"English [Auto], Arabic [Auto], 11 more",ג‚×399.90,ג‚×45.90,31 hours,35
"[NEW] Spring Boot 3, Spring 6 & Hibernate for Beginners",Programming Languages,Spring Framework,4.6,"71,062","310,745",Chad Darby,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×499.90,ג‚×59.90,43.5 hours,33
The Complete Node.js Developer Course (3rd Edition),Programming Languages,Node.Js,4.6,"69,590","291,571",Andrew Mead,3.2021,English,"English [CC], Arabic [Auto], 11 more",ג‚×299.90,ג‚×45.90,35 hours,None
Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,Game Development,Unreal Engine,4.7,"64,520","337,419",Ben Tristem,1.2023,English,"English [Auto], Arabic [Auto], 11 more",ג‚×399.90,ג‚×45.90,29.5 hours,6
C# Basics for Beginners: Learn C# Fundamentals by Coding,Programming Languages,C#,4.5,"62,331","209,043",Mosh Hamedani,12.202,English,"English, Arabic [Auto], 14 more",ג‚×429.90,ג‚×53.90,5 hours,11
The Python Mega Course: Learn Python in 60 Days with 20 Apps,Programming Languages,Python,4.6,"62,063","294,553",Ardit Sulce,5.2023,English,"English [Auto], Bulgarian [Auto], 23 more",ג‚×399.90,ג‚×45.90,49 hours,91
Flutter & Dart - The Complete Guide [2023 Edition],Mobile Development,Dart (programming language),4.6,"61,667","249,431",Academind by Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×499.90,ג‚×59.90,30 hours,13
The Complete Web Developer in 2023: Zero to Mastery,Web Development,None,4.7,"61,066","210,813",Andrei Neagoie,4.2023,English,"English [Auto], French [Auto], 7 more",ג‚×399.90,ג‚×45.90,37.5 hours,153
Beginning C++ Programming - From Beginner to Beyond,Programming Languages,C++,4.6,"59,268","251,416",Tim Buchalka's Learn Programming Academy,4.2023,English,"English, Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,46 hours,2
Vue - The Complete Guide (incl. Router & Composition API),Web Development,Vue JS,4.7,"59,136","219,911",Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,31.5 hours,36
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,Software Development Tools,Docker,4.7,"58,896","294,575",Bret Fisher,5.2023,English,"English [CC], Arabic [Auto], 13 more",ג‚×499.90,ג‚×63.90,21 hours,39
Docker and Kubernetes: The Complete Guide,Software Development Tools,Docker,4.7,"54,311","282,758",Stephen Grider,5.2023,English,"English [CC], Arabic [Auto], 15 more",ג‚×349.90,ג‚×63.90,21.5 hours,64
R Programming A-Zג„¢: R For Data Science With Real Exercises!,Data Science,R (programming language),4.6,"50,234","253,191",Kirill Eremenko,3.2023,English,"English, Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,10.5 hours,4
The Complete Flutter Development Bootcamp with Dart,Mobile Development,Google Flutter,4.6,"48,842","169,871",Dr. Angela Yu,12.2021,English,"English, Bulgarian [Auto], 22 more",ג‚×399.90,ג‚×45.90,28.5 hours,54
Complete Python Developer in 2023: Zero to Mastery,Programming Languages,Python,4.6,"48,234","196,754",Andrei Neagoie,4.2023,English,"English [Auto], Arabic [Auto], 13 more",ג‚×599.90,ג‚×69.90,30.5 hours,62
Python and Django Full Stack Web Developer Bootcamp,Web Development,Django,4.5,"47,348","196,865",Jose Portilla,9.2019,English,"English [Auto], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,32 hours,6
JavaScript: Understanding the Weird Parts,Web Development,JavaScript,4.8,"46,791","185,174",Anthony Alicea,11.2022,English,"English, Bulgarian [Auto], 23 more",ג‚×399.90,ג‚×45.90,12 hours,10
The Python Bibleג„¢ | Everything You Need to Program in Python,Programming Languages,Python,4.6,"46,611","155,683",Ziyad Yehia,4.2021,English,"English, Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,9 hours,4
SQL for Beginners: Learn SQL using MySQL and Database Design,Database Design & Development,SQL,4.5,"44,989","145,025",Tim Buchalka's Learn Programming Academy,10.2022,English,"English, Bulgarian [Auto], 21 more",ג‚×349.90,ג‚×55.90,8 hours,None
Master Microservices with Spring Boot and Spring Cloud,Web Development,Microservices,4.6,"44,600","218,273",in28Minutes Official,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×69.90,ג‚×43.90,22 hours,43
The Complete React Native + Hooks Course,Mobile Development,React Native,4.6,"42,982","181,427",Stephen Grider,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×329.90,ג‚×45.90,38 hours,40
"Deep Learning A-Zג„¢ 2023: Neural Networks, AI & ChatGPT Bonus",Data Science,Deep Learning,4.6,"42,860","354,844",Kirill Eremenko,5.2023,English,"English, Arabic [Auto], 11 more",ג‚×459.90,ג‚×55.90,22 hours,34
Understanding TypeScript,Web Development,Typescript,4.7,"42,285","202,551",Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,15 hours,22
"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",Programming Languages,Express Framework,4.6,"41,069","214,789",Academind by Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×429.90,ג‚×53.90,40.5 hours,64
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",Web Development,CSS,4.8,"40,672","192,107",Jonas Schmedtmann,5.2023,English,"English, Arabic [Auto], 15 more",ג‚×399.90,ג‚×45.90,28 hours,2
Complete C# Unity Game Developer 3D,Game Development,3D Game Development,4.7,"38,875","204,301",Ben Tristem,2.2023,English,"English [Auto], Arabic [Auto], 12 more",ג‚×459.90,ג‚×55.90,30.5 hours,5
Apache Kafka Series - Learn Apache Kafka for Beginners v3,Database Design & Development,Apache Kafka,4.7,"38,202","189,563","Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",5.2023,English,"English [CC], Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,8.5 hours,10
Mastering Data Structures & Algorithms using C and C++,Software Engineering,Data Structures,4.6,"38,001","149,966",Abdul Bari,10.2022,English,"English [Auto], Bulgarian [Auto], 21 more",ג‚×399.90,ג‚×45.90,58.5 hours,1
Statistics for Data Science and Business Analysis,Data Science,Business Analytics,4.6,"37,486","173,478",365 Careers,4.2023,English,"English [Auto], Arabic [Auto], 15 more",ג‚×429.90,ג‚×53.90,5 hours,28
Python for Beginners: Learn Python Programming (Python 3),Programming Languages,Python,4.5,"36,288","122,726",Jason Cannon,5.2023,English,"English, Bulgarian [Auto], 20 more",ג‚×399.90,ג‚×45.90,2.5 hours,1
Java Programming for Complete Beginners,Programming Languages,Java,4.5,"35,129","209,749",in28Minutes Official,5.2023,English,"English, Arabic [Auto], 12 more",ג‚×69.90,ג‚×43.90,33.5 hours,24
HTML and CSS for Beginners - Build a Website & Launch ONLINE,Web Development,CSS,4.4,"34,653","362,013",Edwin Diaz,1.2022,English,"English [Auto], Bulgarian [Auto], 13 more",ג‚×349.90,ג‚×45.90,6 hours,1
React Native - The Practical Guide [2023],Mobile Development,React Native,4.7,"33,157","186,622",Academind by Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Bulgarian [Auto], 22 more",ג‚×459.90,ג‚×55.90,28.5 hours,14
Data Science A-Zג„¢: Hands-On Exercises & ChatGPT Bonus [2023],Data Science,None,4.5,"33,125","212,393",Kirill Eremenko,3.2023,English,"English [Auto], Bulgarian [Auto], 22 more",ג‚×399.90,ג‚×45.90,21 hours,7
Go: The Complete Developer's Guide (Golang),Programming Languages,Go (programming language),4.6,"32,756","138,711",Stephen Grider,5.2023,English,"English [Auto], Arabic [Auto], 15 more",ג‚×299.90,ג‚×45.90,9 hours,5
The Complete ASP.NET MVC 5 Course,Web Development,ASP.NET MVC,4.2,"32,749","130,060",Mosh Hamedani,4.2018,English,"English, Bulgarian [Auto], 24 more",ג‚×639.90,ג‚×69.90,7.5 hours,10
"C# Intermediate: Classes, Interfaces and OOP",Programming Languages,Object Oriented Programming,4.6,"32,717","144,182",Mosh Hamedani,10.2019,English,"English, Arabic [Auto], 15 more",ג‚×429.90,ג‚×53.90,5.5 hours,5
Master the Coding Interview: Data Structures + Algorithms,Software Engineering,Coding Interview,4.7,"31,272","199,263",Andrei Neagoie,4.2023,English,"English [Auto], Arabic [Auto], 15 more",ג‚×599.90,ג‚×69.90,19.5 hours,53
Modern JavaScript From The Beginning 2.0 - 2023 Revamp,Web Development,JavaScript,4.7,"31,228","104,713",Brad Traversy,4.2023,English,"English [Auto], Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,36.5 hours,1
Learn JIRA with real-world examples (+Confluence bonus),Software Development Tools,JIRA,4.6,"30,667","144,918",Kosh Sarkar,8.2022,English,"English [Auto], Arabic [Auto], 14 more",ג‚×179.90,ג‚×53.90,11.5 hours,1
Rest API Testing (Automation) from Scratch-Rest Assured Java,Software Testing,REST Assured,4.6,"30,531","137,310",Rahul Shetty,5.2023,English,"English [Auto], Bulgarian [Auto], 23 more",ג‚×399.90,ג‚×45.90,27.5 hours,29
"DevOps , CI/CD(Continuous Integration/Delivery for Beginners",Software Development Tools,CI/CD,4.4,"30,261","81,314",John Honai,11.2022,English,"English [CC], French [Auto], 7 more",ג‚×349.90,ג‚×45.90,1 hour,None
C Programming For Beginners - Master the C Language,Programming Languages,C (programming language),4.3,"30,112","135,959",Tim Buchalka's Learn Programming Academy,5.2023,English,"English, Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,25.5 hours,1
Relational Database Design,Database Design & Development,Database Design,4.4,"29,971","79,149",Ben Brumm,6.202,English,"English [Auto], Bulgarian [Auto], 20 more",ג‚×179.90,ג‚×43.90,1.5 hours,None
"Machine Learning, Data Science and Deep Learning with Python",Data Science,Machine Learning,4.6,"28,890","175,600",Sundog Education by Frank Kane,4.2023,English,"English [CC], Bulgarian [Auto], 24 more",ג‚×89.90,ג‚×45.90,15.5 hours,6
JavaScript Basics for Beginners,Programming Languages,ECMAscript,4.6,"28,686","116,457",Mosh Hamedani,6.2018,English,"English, Bulgarian [Auto], 21 more",ג‚×399.90,ג‚×45.90,6.5 hours,3
The Complete Android N Developer Course,Mobile Development,Android Development,4.3,"28,514","156,272",Rob Percival,8.2021,English,"English [Auto], Bulgarian [Auto], 24 more",ג‚×559.90,ג‚×67.90,32 hours,106
Learn and Understand NodeJS,Web Development,Node.Js,4.5,"28,298","124,518",Anthony Alicea,9.202,English,"English, Bulgarian [Auto], 20 more",ג‚×429.90,ג‚×53.90,13 hours,4
The Modern Python 3 Bootcamp,Programming Languages,Python,4.7,"28,236","110,066",Colt Steele,4.2023,English,"English [Auto], Arabic [Auto], 13 more",ג‚×559.90,ג‚×69.90,29.5 hours,125
"Git Complete: The definitive, step-by-step guide to Git",Software Development Tools,Git,4.5,"27,771","128,237",Jason Taylor,8.2022,English,"English, Bulgarian [Auto], 24 more",ג‚×429.90,ג‚×53.90,6 hours,1
Python for Absolute Beginners,Programming Languages,Python,4.5,"27,739","199,494",Green Chameleon Learning,3.2023,English,"English [Auto], Bulgarian [Auto], 14 more",ג‚×179.90,ג‚×55.90,4 hours,68
The Complete Angular Course: Beginner to Advanced,Web Development,Angular,4.4,"26,683","110,781",Mosh Hamedani,4.2018,English,"English [Auto], Bulgarian [Auto], 23 more",ג‚×539.90,ג‚×67.90,29.5 hours,10
"Complete React Developer in 2023 (w/ Redux, Hooks, GraphQL)",Web Development,React JS,4.6,"26,432","129,778",Andrei Neagoie,5.2023,English,"English [Auto], Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,42 hours,44
JavaScript - The Complete Guide 2023 (Beginner + Advanced),Programming Languages,JavaScript,4.6,"26,177","136,276",Academind by Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 12 more",ג‚×399.90,ג‚×45.90,52 hours,76
Python A-Zג„¢: Python For Data Science With Real Exercises!,Data Science,Python,4.6,"26,040","153,341",Kirill Eremenko,3.2023,English,"English, Bulgarian [Auto], 19 more",ג‚×399.90,ג‚×45.90,11 hours,4
Ethereum and Solidity: The Complete Developer's Guide,Web Development,Ethereum,4.6,"25,542","137,076",Stephen Grider,5.2023,English,"English [Auto], Arabic [Auto], 13 more",ג‚×329.90,ג‚×45.90,23.5 hours,36
Complete C# Masterclass,Programming Languages,C#,4.5,"25,425","114,154",Denis Panjuta,4.2023,English,"English [Auto], Arabic [Auto], 13 more",ג‚×459.90,ג‚×55.90,37 hours,34
Modern HTML & CSS From The Beginning (Including Sass),Web Development,CSS,4.7,"25,250","80,330",Brad Traversy,3.2022,English,"English [Auto], Arabic [Auto], 13 more",ג‚×349.90,ג‚×45.90,21 hours,2
Alteryx Bootcamp,Software Development Tools,Alteryx,4.6,"25,164","65,633",Hendrik Kleine,2.2022,English,"English [CC], Bulgarian [Auto], 20 more",ג‚×259.90,ג‚×43.90,6.5 hours,None
Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,Web Development,CSS,4.5,"25,072","84,679",Andrew Eddy,9.2018,English,"English [Auto], Bulgarian [Auto], 21 more",ג‚×329.90,ג‚×43.90,5.5 hours,15
Kubernetes Certified Application Developer (CKAD) with Tests,Software Engineering,Certified Kubernetes Application Developer (CKAD),4.7,"25,012","155,752",Mumshad Mannambeth,5.2023,English,"English [CC], Arabic [Auto], 13 more",ג‚×429.90,ג‚×53.90,15 hours,75
The Complete Java Certification Course,Programming Languages,Java,4.6,"24,111","86,278",Imtiaz Ahmad,11.2022,English,"English [Auto], Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,17.5 hours,5
JavaScript Algorithms and Data Structures Masterclass,Programming Languages,Algorithms,4.7,"24,000","131,326",Colt Steele,4.2023,English,"English [Auto], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,21.5 hours,32
PHP for Beginners - Become a PHP Master - CMS Project,Web Development,PHP,4.4,"23,693","119,583",Edwin Diaz,10.2022,English,"English [Auto], Arabic [Auto], 15 more",ג‚×399.90,ג‚×45.90,37 hours,6
Angular & NodeJS - The MEAN Stack Guide [2023 Edition],Web Development,MEAN Stack,4.6,"23,541","120,233",Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,12.5 hours,23
Artificial Intelligence A-Zג„¢ 2023: Build an AI with ChatGPT4,Data Science,Artificial Intelligence,4.4,"23,518","206,511",Hadelin de Ponteves,5.2023,English,"English [CC], Arabic [Auto], 12 more",ג‚×449.90,ג‚×55.90,17 hours,20
The Complete Python Programming Course: Beginner to Advanced,Programming Languages,Python,4.2,"23,471","576,881",Joseph Delgadillo,11.2022,English,"English, Spanish [Auto]",ג‚×459.90,ג‚×55.90,18 hours,None
Microsoft SQL for Beginners,Programming Languages,Microsoft SQL,4.5,"23,457","87,855",Brewster Knowlton,12.202,English,"English [Auto], Bulgarian [Auto], 22 more",ג‚×159.90,ג‚×45.90,3.5 hours,None
The Complete React Developer Course (w/ Hooks and Redux),Web Development,React JS,4.4,"22,728","84,072",Andrew Mead,10.202,English,"English [Auto], Bulgarian [Auto], 23 more",ג‚×349.90,ג‚×45.90,39 hours,None
Python for beginners,Web Development,Python,4.6,"22,497","237,119",Bharath Thippireddy,5.2023,English,"English, Bulgarian [Auto], 13 more",ג‚×105.90,ג‚×45.90,14 hours,1
Java In-Depth: Become a Complete Java Engineer!,Programming Languages,Java,4.4,"21,789","121,331",Dheeru Mundluru,5.2023,English,"English [Auto], Arabic [Auto], 13 more",ג‚×329.90,ג‚×55.90,68.5 hours,40
The Complete 2023 Software Testing Bootcamp,Software Testing,None,4.6,"21,670","119,005",Tarek Roshdy,5.2023,English,"English, Arabic [Auto], 13 more",ג‚×139.90,ג‚×53.90,29.5 hours,14
Spark and Python for Big Data with PySpark,Data Science,PySpark,4.5,"21,602","117,931",Jose Portilla,5.202,English,"English [Auto], Arabic [Auto], 14 more",ג‚×429.90,ג‚×49.90,10.5 hours,4
Learn and Understand AngularJS,Web Development,AngularJS,4.4,"21,500","96,516",Anthony Alicea,9.202,English,"English, Bulgarian [Auto], 23 more",ג‚×399.90,ג‚×49.90,7 hours,5
Learn C++ Programming -Beginner to Advance- Deep Dive in C++,Programming Languages,C++,4.6,"21,448","69,283",Abdul Bari,10.2022,English,"English [Auto], Arabic [Auto], 13 more",ג‚×429.90,ג‚×53.90,30.5 hours,None
Become a WordPress Developer: Unlocking Power With Code,Web Development,WordPress,4.7,"21,424","95,581",Brad Schiff,3.2023,English,"English [Auto], Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,41.5 hours,35
MongoDB - The Complete Developer's Guide 2023,Database Design & Development,MongoDB,4.7,"21,352","149,767",Academind by Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 15 more",ג‚×499.90,ג‚×59.90,17.5 hours,28
Learn How To Code: Google's Go (golang) Programming Language,Programming Languages,Go (programming language),4.5,"21,083","140,011",Todd McLeod,5.2023,English,"English [Auto], Arabic [Auto], 12 more",ג‚×123.90,ג‚×45.90,53 hours,5
Build an app with ASPNET Core and Angular from scratch,Web Development,ASP.NET,4.6,"20,823","93,687",Neil Cummings,3.2023,English,"English [Auto], Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,35 hours,3
C# Advanced Topics: Prepare for Technical Interviews,Programming Languages,C#,4.4,"20,739","114,904",Mosh Hamedani,10.2019,English,"English, Bulgarian [Auto], 19 more",ג‚×429.90,ג‚×53.90,3 hours,5
REST APIs with Flask and Python in 2023,Web Development,Flask,4.6,"20,144","112,633",Jose Salvatierra,5.2023,English,"English, Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,12 hours,11
The Complete Python Course | Learn Python by Doing in 2023,Programming Languages,Python,4.6,"19,743","81,746",Codestars ג€¢ over 2 million students worldwide!,4.2023,English,"English [CC], Arabic [Auto], 9 more",ג‚×499.90,ג‚×63.90,35 hours,57
Data Analysis with Pandas and Python,Data Science,Pandas,4.6,"19,545","182,247",Boris Paskhaver,4.2023,English,"English [CC], Bulgarian [Auto], 24 more",ג‚×69.90,ג‚×43.90,21.5 hours,40
Complete Guide to Elasticsearch,Software Engineering,Elasticsearch,4.6,"19,501","111,688",Bo Andersen,5.2023,English,"English [Auto], Arabic [Auto], 14 more",ג‚×429.90,ג‚×53.90,12.5 hours,4
Learning Python for Data Analysis and Visualization Ver 1,Programming Languages,Data Analysis,4.2,"19,032","197,704",Jose Portilla,9.2019,English,"English [Auto], Indonesian [Auto], 5 more",ג‚×399.90,ג‚×45.90,21 hours,3
Git Going Fast: One Hour Git Crash Course,Software Development Tools,Git,4.4,"18,942","107,781",Jason Taylor,8.2022,English,"English, French [Auto], 6 more",ג‚×69.90,ג‚×43.90,1.5 hours,10
Docker & Kubernetes: The Practical Guide [2023 Edition],Web Development,Docker,4.7,"18,798","129,179",Academind by Maximilian Schwarzmֳ¼ller,5.2023,English,"English [CC], Arabic [Auto], 13 more",ג‚×399.90,ג‚×45.90,23.5 hours,33
Spring Framework 5: Beginner to Guru,Programming Languages,Spring Framework,4.2,"18,588","99,837","John Thompson ג€¢ 470,000+ Enrollments Worldwide",1.2023,English,"English, Arabic [Auto], 14 more",ג‚×399.90,ג‚×45.90,57 hours,13
The Ultimate Guide to Game Development with Unity (Official),Game Development,Unity,4.5,"18,190","90,853",Jonathan Weinberger,10.2022,English,"Arabic [Auto], Dutch [Auto], 11 more",ג‚×429.90,ג‚×53.90,36.5 hours,None
Angular Crash Course for Busy Developers,Web Development,Typescript,4.5,"18,077","76,032",Mosh Hamedani,4.2018,English,"English [Auto], Bulgarian [Auto], 23 more",ג‚×399.90,ג‚×45.90,10.5 hours,5
"Node.js, Express, MongoDB & More: The Complete Bootcamp",Web Development,Node.Js,4.7,"17,996","108,233",Jonas Schmedtmann,5.2023,English,"English, Bulgarian [Auto], 21 more",ג‚×399.90,ג‚×45.90,42 hours,3
Learn Python & Ethical Hacking From Scratch,Programming Languages,Python,4.5,"17,591","106,080",Zaid Sabih,3.2023,English,"English [Auto], Arabic [Auto], 9 more",ג‚×459.90,ג‚×55.90,25 hours,1
The Complete Android Oreo Developer Course - Build 23 Apps!,Mobile Development,Android Development,4.2,"17,478","89,831",Rob Percival,10.2021,English,"English [Auto], Arabic [Auto], 15 more",ג‚×559.90,ג‚×69.90,37.5 hours,119
"Understanding Jira for users, managers and admins",Software Development Tools,JIRA,4.5,"17,302","63,587",Dan LeFebvre,1.2023,English,"English [CC], Bulgarian [Auto], 23 more",ג‚×399.90,ג‚×45.90,7 hours,None
Python for Financial Analysis and Algorithmic Trading,Programming Languages,Financial Trading,4.3,"17,082","115,442",Jose Portilla,12.202,English,"English [Auto], French [Auto], 11 more",ג‚×399.90,ג‚×45.90,16.5 hours,9
MasterClass Software Testing with Jira & Agile -Be a QA Lead,Software Testing,Quality Assurance,4.5,"16,900","76,606",Rahul Shetty,3.2023,English,"English [Auto], Bulgarian [Auto], 22 more",ג‚×399.90,ג‚×45.90,10.5 hours,10
The Complete Oracle SQL Bootcamp (2023),Database Design & Development,Oracle SQL,4.6,"16,831","71,984","Oracle Master Training | 200,000+ Students Worldwide",5.2023,English,"English [Auto], Bulgarian [Auto], 24 more",ג‚×399.90,ג‚×49.90,36 hours,176
Apache Spark with Scala - Hands On with Big Data!,Data Science,Apache Spark,4.5,"16,815","91,335",Sundog Education by Frank Kane,9.2022,English,"English [CC], Bulgarian [Auto], 22 more",ג‚×69.90,ג‚×43.90,9 hours,4
Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,Software Testing,Appium,4.6,"16,795","91,485",Rahul Shetty,5.2023,English,"English [Auto], Bulgarian [Auto], 23 more",ג‚×459.90,ג‚×55.90,25.5 hours,13
Selenium 4 WebDriver with Java(Basics + Advance + Architect),Software Testing,Selenium WebDriver,4.3,"16,784","150,964",Rahul Arora,5.2023,English,"English [Auto], Bulgarian [Auto], 13 more",ג‚×69.90,ג‚×43.90,140.5 hours,122
The Git & Github Bootcamp,Software Development Tools,Git,4.8,"16,749","100,633",Colt Steele,4.2023,English,"English [Auto], Arabic [Auto], 12 more",ג‚×399.90,ג‚×45.90,17 hours,1
Complete Guide to TensorFlow for Deep Learning with Python,Data Science,Deep Learning,4.5,"16,666","94,100",Jose Portilla,4.202,English,"English [Auto], French [Auto], 11 more",ג‚×429.90,ג‚×49.90,14 hours,7
Bootstrap 4 From Scratch With 5 Projects,Web Development,Bootstrap,4.5,"16,555","69,516",Brad Traversy,6.2018,English,"English [Auto], French [Auto], 7 more",ג‚×429.90,ג‚×53.90,11.5 hours,None
The Ultimate Excel Programmer Course,Programming Languages,Excel,4.6,"16,327","117,255",Daniel Strong,1.2023,English,English [Auto],ג‚×449.90,ג‚×55.90,30.5 hours,1
"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",Mobile Development,Ionic,4.7,"15,993","70,241",Maximilian Schwarzmֳ¼ller,4.2023,English,"English [CC], Bulgarian [Auto], 19 more",ג‚×399.90,ג‚×45.90,20 hours,48
Data Science and Machine Learning Bootcamp with R,Data Science,Machine Learning,4.7,"15,992","88,847",Jose Portilla,12.202,English,"English, Arabic [Auto], 15 more",ג‚×399.90,ג‚×49.90,17.5 hours,9
