Course Name,Category,Subcategory,Overall Rating,Number of Ratings,Students Enrolled,Created By,Last Update,Language,Number of Translations,Original Price,Discounted Price,Course Duration,Number of Lessons
Learn Modular Environment Building for Games with Blender,Game Development,Blender,4.4,89,734,3dmotive LLC,9.2016,English,English [Auto],ג‚×69.90,ג‚×43.90,6.5 hours,2
"Node, Express, React JS & MySQL full stack web development",Web Development,React JS,4.1,89,"9,130",Vinay Kumar,9.2021,English,English [Auto],ג‚×69.90,ג‚×43.90,1 hour,1
Installing and Setting up FreeSWITCH: Basics,Web Development,Telecom,3.6,89,446,Eddy Chiang,10.2013,English,English [Auto],ג‚×139.90,ג‚×43.90,1.5 hours,None
Android Marshmallow: Reskin 10-Million Downloads Android App,Mobile Development,Android Development,4.4,89,"4,841",Jason Low,10.2017,English,English [Auto],ג‚×69.90,ג‚×43.90,1 hour,10
Learning Path: OpenCV: Master Image Processing with OpenCV 3,Programming Languages,OpenCV,3.1,89,708,Packt Publishing,10.2017,English,English [Auto],ג‚×399.90,ג‚×49.90,5.5 hours,None
Build a Beautiful CryptoCurrency App using Ionic,Mobile Development,Cryptocurrency,4.5,89,559,Gary Simon,10.2017,English,English [Auto],ג‚×69.90,ג‚×43.90,2.5 hours,None
Building Desktop Applications with Python and Kivy,Software Engineering,Graphical User Interface,4.2,89,553,Samuel Mthembo,10.2019,English,English [Auto],ג‚×179.90,None,7 hours,None
Amazing JavaScript Code Examples From Scratch DOM coding,Programming Languages,JavaScript,3.4,89,"32,199",Laurence Svekis,11.2015,English,English [Auto],ג‚×259.90,ג‚×43.90,1.5 hours,None
A Complete Guide to ArcGIS: 4 in 1,Software Development Tools,ArcGIS,4.1,89,490,Packt Publishing,11.2018,English,English [Auto],ג‚×349.90,ג‚×43.90,8.5 hours,None
MongoDB for Beginners - Fast track,Web Development,MongoDB,4.1,89,"8,882",Edwin Diaz,11.2019,English,English [Auto],ג‚×349.90,ג‚×43.90,3.5 hours,1
Angular unit test case with Jasmine & Karma,Web Development,Angular,3.9,89,438,TheDotNet Office,11.2022,English,English [Auto],ג‚×69.90,ג‚×43.90,6.5 hours,None
Learn MySQL and Solve 42 Practical Problems,Database Design & Development,MySQL,4.3,89,627,Le Deng,12.2016,English,English [Auto],ג‚×349.90,ג‚×43.90,4.5 hours,1
Learning CUDA 10 Programming,Programming Languages,CUDA,4.1,89,579,Packt Publishing,12.2019,English,English,ג‚×349.90,ג‚×43.90,2.5 hours,None
Python in 3 Hours! [+ Machine Learning & Deep Learning],Programming Languages,Python Scripting,4.3,89,"2,062",Mohammad H. Rafiei,12.202,English,English [Auto],ג‚×69.90,ג‚×43.90,3 hours,None
Siemens WinCC Professional SCADA (Advance),Programming Languages,SCADA,3.7,89,521,Megha Kumari,12.2022,English,,ג‚×69.90,ג‚×43.90,7 hours,None
Beginners Guide to Learning Programming,Programming Languages,Programming Fundamentals,4.2,88,532,Infinite Skills,1.2017,English,English [Auto],ג‚×179.90,ג‚×43.90,2.5 hours,1
PHP Secure Login and Registration System + Email Activation,Programming Languages,PHP,4,88,"1,745",Jazeb Akram,1.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,4.5 hours,12
JavaScript: Coding Challenge Bootcamp,Web Development,JavaScript,3.7,88,"17,847",Md. A. Barik,1.2021,English,English [Auto],ג‚×69.90,ג‚×43.90,3.5 hours,9
Deep Learning with Google Colab,Data Science,Deep Learning,4.8,88,"7,508",BPB Online + 100 Million Books Sold,2.202,English,English [Auto],ג‚×69.90,ג‚×43.90,5.5 hours,None
{ C } Digital Image Processing From Ground Upג„¢,Programming Languages,Image Processing,4.8,88,878,Israel Gbati,2.2021,English,English [Auto],ג‚×329.90,ג‚×49.90,8.5 hours,1
Image Processing and Computer Vision with Python & OpenCV,Data Science,Computer Vision,3.9,88,522,Shiv Onkar Deepak Kumar,2.2022,English,,ג‚×89.90,ג‚×45.90,9.5 hours,None
C Programming - Practical Tutorial by Projects,Programming Languages,C (programming language),3.9,88,"9,501",Burak Gunduz,3.2016,English,English [Auto],ג‚×69.90,ג‚×43.90,3.5 hours,4
NodeJS API Development for Absolute Beginners,Web Development,Node.Js,3.8,88,"3,251",Code Caffeine,3.2018,English,,ג‚×349.90,ג‚×43.90,3 hours,None
